
Learning rate: 1e-05
               Model Optimizer Epoch      Loss Accuracy (train)
0   FullyConnected_1       SGD     1  2.304428        13.358791
1   FullyConnected_1       SGD     2  2.304376        13.662287
2   FullyConnected_1       SGD     3  2.304325        14.020811
3   FullyConnected_1       SGD     4  2.304274         14.34932
4   FullyConnected_1       SGD     5  2.304222        14.634472
5   FullyConnected_1       SGD     6  2.304172        14.959645
6   FullyConnected_1       SGD     7   2.30412        15.281483
7   FullyConnected_1       SGD     8  2.304067        15.606657
8   FullyConnected_1       SGD     9  2.304015        15.970184
9   FullyConnected_1       SGD    10  2.303964         16.28702
10  FullyConnected_1      Adam     1  1.833833        72.271878
11  FullyConnected_1      Adam     2  1.675421         81.17496
12  FullyConnected_1      Adam     3  1.651962        82.777481
13  FullyConnected_1      Adam     4  1.638549        83.783018
14  FullyConnected_1      Adam     5   1.62863        84.665155
15  FullyConnected_1      Adam     6  1.620674        85.353855
16  FullyConnected_1      Adam     7  1.613501        86.034218
17  FullyConnected_1      Adam     8  1.604974        86.861326
18  FullyConnected_1      Adam     9  1.592799        88.132004
19  FullyConnected_1      Adam    10  1.583473        89.052495
20               ---       ---   ---       ---              ---
21   Convolutional_1       SGD     1  2.304621        12.276547
22   Convolutional_1       SGD     2  2.304596        12.383271
23   Convolutional_1       SGD     3  2.304571        12.473319
24   Convolutional_1       SGD     4  2.304548        12.553362
25   Convolutional_1       SGD     5  2.304524        12.638407
26   Convolutional_1       SGD     6  2.304499        12.700107
27   Convolutional_1       SGD     7  2.304475        12.783485
28   Convolutional_1       SGD     8  2.304451        12.848519
29   Convolutional_1       SGD     9  2.304426        12.921892
30   Convolutional_1       SGD    10  2.304402        13.010272
31   Convolutional_1      Adam     1  2.100512         54.15555
32   Convolutional_1      Adam     2  1.823992        72.458645
33   Convolutional_1      Adam     3  1.747849        76.284018
34   Convolutional_1      Adam     4  1.718583        77.871531
35   Convolutional_1      Adam     5  1.701768        78.753669
36   Convolutional_1      Adam     6  1.689977        79.517409
37   Convolutional_1      Adam     7  1.680788        80.191102
38   Convolutional_1      Adam     8  1.673889        80.684699
39   Convolutional_1      Adam     9  1.668306         81.03155
40   Convolutional_1      Adam    10  1.663523        81.441769
41               ---       ---   ---       ---              ---
42   Convolutional_3       SGD     1  2.305195        10.010339
43   Convolutional_3       SGD     2  2.305195        10.012006
44   Convolutional_3       SGD     3  2.305194        10.007004
45   Convolutional_3       SGD     4  2.305193        10.012006
46   Convolutional_3       SGD     5  2.305191        10.012006
47   Convolutional_3       SGD     6   2.30519        10.008671
48   Convolutional_3       SGD     7   2.30519        10.008671
49   Convolutional_3       SGD     8  2.305187        10.015342
50   Convolutional_3       SGD     9  2.305187        10.013674
51   Convolutional_3       SGD    10  2.305186        10.013674
52   Convolutional_3      Adam     1  2.135985        45.480923
53   Convolutional_3      Adam     2  1.847315        65.074707
54   Convolutional_3      Adam     3  1.799224        68.213047
55   Convolutional_3      Adam     4  1.778977        69.600454
56   Convolutional_3      Adam     5  1.766886        70.580977
57   Convolutional_3      Adam     6  1.758427         71.28802
58   Convolutional_3      Adam     7   1.75233        71.796625
59   Convolutional_3      Adam     8  1.747068         72.23686
60   Convolutional_3      Adam     9  1.743154        72.555363
61   Convolutional_3      Adam    10  1.739572         72.84385
----------------------------------------------------------------

Learning rate: 0.0001
               Model Optimizer Epoch      Loss Accuracy (train)
0   FullyConnected_1       SGD     1  2.304731         13.46218
1   FullyConnected_1       SGD     2  2.304247        13.897412
2   FullyConnected_1       SGD     3  2.303733        14.302628
3   FullyConnected_1       SGD     4  2.303185        14.719517
4   FullyConnected_1       SGD     5  2.302601        15.628335
5   FullyConnected_1       SGD     6  2.301989        17.267543
6   FullyConnected_1       SGD     7  2.301351        19.293623
7   FullyConnected_1       SGD     8  2.300692        21.558164
8   FullyConnected_1       SGD     9  2.300008        23.797692
9   FullyConnected_1       SGD    10  2.299303        25.601988
10  FullyConnected_1      Adam     1    1.7171        75.865462
11  FullyConnected_1      Adam     2   1.59018        88.105323
12  FullyConnected_1      Adam     3  1.556502        91.206977
13  FullyConnected_1      Adam     4   1.54116        92.636073
14  FullyConnected_1      Adam     5  1.526543        94.058498
15  FullyConnected_1      Adam     6  1.494503          97.3119
16  FullyConnected_1      Adam     7  1.486474        97.978922
17  FullyConnected_1      Adam     8  1.482318        98.347452
18  FullyConnected_1      Adam     9  1.480201        98.520878
19  FullyConnected_1      Adam    10  1.477864        98.725987
20               ---       ---   ---       ---              ---
21   Convolutional_1       SGD     1  2.303829        12.735125
22   Convolutional_1       SGD     2  2.303431        13.572239
23   Convolutional_1       SGD     3  2.303029        14.642809
24   Convolutional_1       SGD     4  2.302618        15.933498
25   Convolutional_1       SGD     5  2.302202        17.422625
26   Convolutional_1       SGD     6  2.301776        19.181897
27   Convolutional_1       SGD     7  2.301343        21.011206
28   Convolutional_1       SGD     8  2.300902        22.913887
29   Convolutional_1       SGD     9  2.300447        24.748199
30   Convolutional_1       SGD    10  2.299988        26.420758
31   Convolutional_1      Adam     1   1.77687        72.723786
32   Convolutional_1      Adam     2  1.658068        81.703575
33   Convolutional_1      Adam     3   1.63576        83.647946
34   Convolutional_1      Adam     4  1.618661        85.310499
35   Convolutional_1      Adam     5  1.605495        86.574506
36   Convolutional_1      Adam     6  1.595042        87.583378
37   Convolutional_1      Adam     7  1.587247        88.283751
38   Convolutional_1      Adam     8  1.575716        89.472719
39   Convolutional_1      Adam     9  1.559558        91.113594
40   Convolutional_1      Adam    10  1.551502        91.870664
41               ---       ---   ---       ---              ---
42   Convolutional_3       SGD     1  2.305193        10.007004
43   Convolutional_3       SGD     2  2.305189        10.005336
44   Convolutional_3       SGD     3  2.305182        10.008671
45   Convolutional_3       SGD     4  2.305176        10.007004
46   Convolutional_3       SGD     5  2.305171        10.002001
47   Convolutional_3       SGD     6  2.305165        10.002001
48   Convolutional_3       SGD     7  2.305158         9.998666
49   Convolutional_3       SGD     8  2.305152        10.002001
50   Convolutional_3       SGD     9  2.305146        10.005336
51   Convolutional_3       SGD    10   2.30514        10.007004
52   Convolutional_3      Adam     1  1.900954        57.488994
